StateCode,CountyCode,TractCode,MSA,CensusYear,Minority_Population,Non_hispanic_other,Non_hispanic_asian,Non_hispanic_white,Non_hispanic_american_indian,Non_hispanic_black,Hispanics,Population,Minority_percentage,Family_count,Household_count,DistressedTractInd,Income_Indicator,Poverty_level_percentage,MSA_MFI_pct,Decennial_Trace_MHI,Decennial_MSA_MFI,HUD_est_MSA_MFI,Est_Income,sDecennial_Tract_MFI,Median_unit_age,Total_housing_units,Num_1_to_4_units,Own_occ_1_to_4_units,Owner_occupied_units,Renter_occupied_units,Units_vacant,Central_City_Flag
55,117,0002.01,43100,2015,1015,91,405,1897,14,83,422,2912,34.86,705,1162,No,Moderate,23.85,77.15,42206,65301,69300,53465,50380,71,1242,1223,686,705,457,80,1
55,131,4501.06,33340,2015,246,56,37,5698,16,28,109,5944,4.14,1680,2345,No,Middle,3.82,101.76,56895,68787,73300,74590,70000,24,2503,2130,1843,1905,440,158,0
55,089,6603.01,33340,2015,418,47,130,5281,12,119,110,5699,7.33,1897,2392,No,Upper,0.50,192.36,115539,68787,73300,141000,132321,35,2392,2275,2209,2287,105,0,0
55,089,6603.03,33340,2015,393,57,154,4429,1,93,88,4822,8.15,1327,2022,No,Upper,2.01,184.49,97283,68787,73300,135231,126908,33,2201,1796,1614,1716,306,179,0
55,089,6602.02,33340,2015,665,79,224,5013,6,214,142,5678,11.71,1230,1805,No,Upper,9.25,153.87,90170,68787,73300,112787,105847,31,1962,1712,1306,1346,459,157,0
55,133,2040.03,33340,2015,241,32,30,3585,28,15,136,3826,6.30,1030,1518,No,Upper,7.51,123.56,70064,68787,73300,90569,85000,32,1579,1282,1090,1090,428,61,0
55,079,1402.02,33340,2015,648,68,168,5164,13,75,324,5812,11.15,1595,2267,No,Middle,4.64,110.09,61339,68787,73300,80696,75729,44,2339,2021,1618,1637,630,72,0
55,079,1402.01,33340,2015,599,93,132,4636,29,58,287,5235,11.44,1484,2343,No,Middle,5.33,103.10,54792,68787,73300,75572,70921,51,2398,1890,1218,1218,1125,55,0
55,079,1872.00,33340,2015,1837,49,238,3547,8,1290,252,5384,34.12,943,1357,No,Upper,2.71,136.62,76375,68787,73300,100142,93983,19,1435,1181,1044,1123,234,78,0
55,101,0021.00,39540,2015,185,23,20,3139,12,9,121,3324,5.57,872,1099,No,Middle,8.53,94.85,62250,65200,65500,62127,61848,35,1219,1083,870,896,203,120,0
55,059,0026.01,29404,2015,2615,229,727,5878,16,650,993,8493,30.79,2080,2606,No,Middle,7.73,109.06,85962,86241,87500,95428,94063,10,2770,2056,1906,2074,532,164,0
55,059,0018.00,29404,2015,860,55,9,1438,14,319,463,2298,37.42,511,903,No,Low,26.09,47.28,35821,86241,87500,41370,40781,71,952,877,475,475,428,49,0
55,059,0021.00,29404,2015,1647,143,57,3599,20,481,946,5246,31.40,1246,2117,No,Moderate,14.37,67.12,44551,86241,87500,58730,57887,40,2131,1515,1105,1105,1012,14,0
55,059,0007.00,29404,2015,3025,184,50,2505,22,1172,1597,5530,54.70,1489,1895,No,Moderate,22.71,54.68,45625,86241,87500,47845,47165,36,2063,1753,849,849,1046,168,0
55,127,0017.01,99999,2015,840,84,20,4971,19,86,631,5811,14.46,1434,2151,No,Middle,9.58,100.86,50212,57005,61500,62029,57500,41,2568,2568,1753,1753,398,417,0
55,133,2039.02,33340,2015,234,34,44,4074,10,10,136,4308,5.43,1284,1855,No,Middle,6.15,116.18,58125,68787,73300,85160,79919,31,1914,1361,1096,1147,708,59,0
55,079,1601.00,33340,2015,971,90,201,5557,41,130,509,6528,14.87,1658,2652,No,Middle,7.44,97.15,51018,68787,73300,71211,66827,32,2834,1974,1755,1767,885,182,1
55,079,1603.00,33340,2015,1337,139,313,8245,71,199,615,9582,13.95,2555,2982,No,Upper,1.03,137.22,90955,68787,73300,100582,94396,22,3028,3028,2951,2951,31,46,0
55,079,1602.03,33340,2015,1169,131,289,4900,31,223,495,6069,19.26,1578,2339,No,Middle,9.42,109.15,64542,68787,73300,80007,75086,17,2388,1562,1298,1325,1014,49,0
55,059,0026.02,29404,2015,1165,115,216,7437,25,255,554,8602,13.54,2243,3007,No,Middle,5.25,91.24,66697,86241,87500,79835,78692,19,3359,2398,2075,2222,785,352,0
55,101,0020.02,39540,2015,238,55,32,4723,9,16,126,4961,4.80,1427,1869,No,Upper,3.28,138.85,81597,65200,65500,90947,90536,27,1939,1823,1549,1558,311,70,0
55,133,2029.02,33340,2015,417,44,225,3096,1,34,113,3513,11.87,949,1623,No,Upper,4.79,123.76,55234,68787,73300,90716,85134,20,1681,910,824,824,799,58,1
55,133,2021.02,33340,2015,519,52,137,4131,12,45,273,4650,11.16,1455,1829,No,Middle,8.93,109.12,72644,68787,73300,79985,75066,25,1829,1640,1292,1323,506,0,1
55,127,0005.02,99999,2015,467,30,61,3208,13,56,307,3675,12.71,735,1463,No,Middle,34.32,99.64,36250,57005,61500,61279,56803,41,1677,1170,682,682,781,214,0
55,079,1874.00,33340,2015,310,23,82,2031,2,124,79,2341,13.24,281,1157,No,Upper,10.77,184.50,76163,68787,73300,135239,126917,9,1386,107,51,441,716,229,1
55,079,0143.00,33340,2015,360,38,126,1937,4,101,91,2297,15.67,233,1659,No,Upper,10.72,191.10,44441,68787,73300,140076,131458,71,1917,102,0,233,1426,258,1
55,079,1869.00,33340,2015,359,27,153,1854,4,107,68,2213,16.22,264,1338,No,Middle,10.36,113.87,48190,68787,73300,83467,78333,38,1615,0,0,278,1060,277,1
55,079,1870.00,33340,2015,564,56,117,2724,6,270,115,3288,17.15,316,2048,No,Upper,20.27,132.71,34900,68787,73300,97276,91293,47,2227,233,122,489,1559,179,1
55,079,0111.00,33340,2015,257,24,69,1224,4,84,76,1481,17.35,128,1053,No,Middle,19.84,88.31,43969,68787,73300,64731,60750,71,1141,418,155,155,898,88,1
55,079,1863.00,33340,2015,1778,54,73,1490,28,1460,163,3268,54.41,70,757,No,Upper,19.10,190.97,70203,68787,73300,139981,131364,71,792,67,34,173,584,35,1
55,079,1858.00,33340,2015,1558,48,89,48,2,1322,97,1606,97.01,428,533,No,Moderate,25.22,73.84,42917,68787,73300,54125,50795,71,620,602,376,376,157,87,1
55,079,0066.00,33340,2015,3031,54,1,22,7,2891,78,3053,99.28,680,1100,No,Low,46.21,29.98,16296,68787,73300,21975,20625,71,1333,1175,344,344,756,233,1
55,079,0045.00,33340,2015,2434,50,18,44,3,2276,87,2478,98.22,743,980,No,Low,49.42,34.87,23013,68787,73300,25560,23990,71,1149,1087,449,449,531,169,1
